,area,perimeter,depth
0,21,40,0.15
1,10,22,0.24
2,56,56,0.69
3,193,114,0.96
4,672,216,4.69
5,260,156,2.25
6,308,140,1.58
7,53,50,0.49
8,241,100,2.29
9,4288,636,4.12
10,1027,228,3.07
11,14,24,0.3
12,4677,728,6.51
13,901,234,1.83
14,270,170,1.55
15,340,222,1.25
16,88,60,2.17
17,661,294,1.48
18,30,46,0.46
19,122,78,1.67
20,18,24,0.32
21,100,78,1.44
22,169,98,0.86
23,419,174,3.83
24,104,82,1.44
25,206,156,1.22
26,847,224,2.86
27,2303,430,6.53
28,55,48,1.06
29,1416,408,3.1
30,738,186,2.17
31,42,50,0.64
32,232,132,1.96
33,1962,450,4.03
34,113,72,2.01
35,46,54,0.96
36,1042,316,1.58
37,396,132,2.22
38,18,32,0.67
39,220,104,4.1
40,23,42,0.34
41,104,78,1.29
42,286,150,2.33
43,76,74,0.48
44,211,118,1.26
45,843,214,3.65
46,1121,414,2.78
47,23479,3135,3.02
48,754,198,4.19
49,158,120,1.49
50,55,58,1.4
51,20,32,0.31
52,17,34,0.5
53,923,292,1.16
54,145,106,1.59
55,4027,564,0.92
56,24,38,0.87
57,85,50,1.33
58,315,134,5.31
59,81,66,1.04
60,18812,1727,7.44
61,111,86,1.59
62,20,30,0.2
63,5773,568,6.21
64,9,20,0.09
65,127,70,1.46
66,109,82,0.87
67,41291,4524,5.25
68,202,86,2.92
69,17,28,0.46
70,3494,644,1.65
71,17,28,0.42
72,9345,1144,7.91
73,11202,1190,8.04
74,67,62,1.35
75,14,24,0.34
76,48,48,0.95
77,197,80,2.91
78,57,60,0.82
79,184,100,0.19
80,64,62,1.8
81,90,60,1.44
82,55,78,0.63
83,23,34,0.65
84,29,44,0.71
85,108,106,1.17
86,26,40,0.33
87,66,70,0.61
88,403,130,2.47
89,2370,622,7.62
90,4949,1046,5.45
91,141,102,1.17
92,298,132,3.31
93,48,48,1.02
94,79,56,0.63
95,1161,206,4.92
96,2296,300,7.52
97,2632,736,6.3
98,16,28,0.22
99,130,84,1.98
100,41,50,0.77
